country.x,season,country_2,seller_raw,buyer_raw,team_name,league,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start.x,buyer_clean,seller_clean,pos_clean,seller_norm,buyer_norm,transfer_id,log_fee,country.y,season_start.y,rivalry_proximity.y,rivalry_proximity,choice_id,nat_match,chosen
England,2018,England,bournemouth,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Benik Afobe,https://www.transfermarkt.com/benik-afobe/profil/spieler/110858,Centre-Forward,25,DR Congo,Bournemouth,Premier League,11400000,FALSE,,Summer,,,,,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,wolves,bournemouth,centre-forward,bournemouth,wolves,49,16.249124001084,England,2017,0.921052631578947,0.921052631578947,23,0,0
England,2018,England,arsenal,west ham united,West Ham United,Premier League,Arrivals,Lucas Pérez,https://www.transfermarkt.com/lucas-perez/profil/spieler/73185,Centre-Forward,29,Spain,Arsenal,Premier League,4400000,FALSE,,Summer,29,19,6,715,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018,west ham,arsenal,centre-forward,arsenal,west ham,23,15.2971153261612,England,2017,0.473684210526316,0.473684210526316,23,0,1
England,2018,England,arsenal,west ham united,West Ham United,Premier League,Arrivals,Lucas Pérez,https://www.transfermarkt.com/lucas-perez/profil/spieler/73185,Centre-Forward,29,Spain,Arsenal,Premier League,4400000,FALSE,,Summer,29,19,6,715,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018,west ham,arsenal,centre-forward,arsenal,west ham,23,15.2971153261612,,,,0,49,0,0
England,2018,England,newcastle,fulham fc,Fulham FC,Premier League,Arrivals,Aleksandar Mitrović,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152,Centre-Forward,23,Serbia,Newcastle,Premier League,24700000,FALSE,,Summer,41,39,11,3378,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,2018,fulham,newcastle,centre-forward,newcastle,fulham,132,17.022313842084,,,,0,49,0,0
England,2018,England,bournemouth,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Benik Afobe,https://www.transfermarkt.com/benik-afobe/profil/spieler/110858,Centre-Forward,25,DR Congo,Bournemouth,Premier League,11400000,FALSE,,Summer,,,,,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,wolves,bournemouth,centre-forward,bournemouth,wolves,49,16.249124001084,,,,0,49,0,1
England,2018,England,man city,burnley fc,Burnley FC,Premier League,Arrivals,Joe Hart,https://www.transfermarkt.com/joe-hart/profil/spieler/40204,Goalkeeper,31,England,Man City,Premier League,3900000,FALSE,,Summer,44,21,0,1920,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2018,2018,burnley,man city,goalkeeper,man city,burnley,77,15.1764873675101,England,2017,0.0526315789473685,0.0526315789473685,55,1,0
England,2018,England,fulham,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,David Button,https://www.transfermarkt.com/david-button/profil/spieler/61814,Goalkeeper,29,England,Fulham,Premier League,4500000,FALSE,,Summer,36,8,0,750,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,fulham,goalkeeper,fulham,brighton,55,15.3195881769627,,,,0,55,1,1
England,2018,England,fulham,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,David Button,https://www.transfermarkt.com/david-button/profil/spieler/61814,Goalkeeper,29,England,Fulham,Premier League,4500000,FALSE,,Summer,36,8,0,750,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,fulham,goalkeeper,fulham,brighton,55,15.3195881769627,,,,0,77,1,0
England,2018,England,man city,burnley fc,Burnley FC,Premier League,Arrivals,Joe Hart,https://www.transfermarkt.com/joe-hart/profil/spieler/40204,Goalkeeper,31,England,Man City,Premier League,3900000,FALSE,,Summer,44,21,0,1920,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2018,2018,burnley,man city,goalkeeper,man city,burnley,77,15.1764873675101,England,2017,0.110526315789474,0.110526315789474,77,1,1
England,2018,England,newcastle,fulham fc,Fulham FC,Premier League,Arrivals,Aleksandar Mitrović,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152,Centre-Forward,23,Serbia,Newcastle,Premier League,24700000,FALSE,,Summer,41,39,11,3378,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,2018,fulham,newcastle,centre-forward,newcastle,fulham,132,17.022313842084,England,2017,0.852631578947369,0.852631578947369,123,0,0
