club,elo,club_clean,snapshot_date
Liverpool,2065.00097656,liverpool,2019-09-01
Man City,2050.77294922,man city,2019-09-01
Barcelona,1985.17431641,barcelona,2019-09-01
Bayern,1950.14770508,bayern,2019-09-01
Tottenham,1892.83532715,tottenham,2019-09-01
Atletico,1888.0703125,atletico,2019-09-01
Arsenal,1879.96801758,arsenal,2019-09-01
Juventus,1875.74890137,juventus,2019-09-01
Chelsea,1868.35717773,chelsea,2019-09-01
Ajax,1845.15441895,ajax,2019-09-01
Man United,1844.42773438,man united,2019-09-01
Real Madrid,1844.27880859,real madrid,2019-09-01
Paris SG,1830.73461914,paris sg,2019-09-01
Dortmund,1817.74121094,dortmund,2019-09-01
Porto,1816.34350586,porto,2019-09-01
RB Leipzig,1809.71508789,rb leipzig,2019-09-01
Napoli,1806.3470459,napoli,2019-09-01
Valencia,1800.66516113,valencia,2019-09-01
Benfica,1799.64257812,benfica,2019-09-01
Salzburg,1779.5255127,salzburg,2019-09-01
Leverkusen,1773.42370605,leverkusen,2019-09-01
Everton,1768.16381836,everton,2019-09-01
Sevilla,1765.34472656,sevilla,2019-09-01
Leicester,1764.15539551,leicester,2019-09-01
Shakhtar,1760.89599609,shakhtar,2019-09-01
Frankfurt,1758.01965332,frankfurt,2019-09-01
Crystal Palace,1756.89135742,crystal palace,2019-09-01
Atalanta,1752.73132324,atalanta,2019-09-01
Getafe,1751.8996582,getafe,2019-09-01
West Ham,1748.57263184,west ham,2019-09-01
Bilbao,1747.45812988,bilbao,2019-09-01
Wolves,1742.95507812,wolves,2019-09-01
Roma,1741.75830078,roma,2019-09-01
PSV,1738.2598877,psv,2019-09-01
Espanyol,1735.75695801,espanyol,2019-09-01
Hoffenheim,1735.0246582,hoffenheim,2019-09-01
Inter,1734.38977051,inter,2019-09-01
Lyon,1731.33740234,lyon,2019-09-01
Sociedad,1723.1463623,sociedad,2019-09-01
Villarreal,1721.4263916,villarreal,2019-09-01
Wolfsburg,1719.7121582,wolfsburg,2019-09-01
Sporting,1719.27575684,sporting,2019-09-01
Olympiakos,1717.47033691,olympiakos,2019-09-01
Newcastle,1717.11645508,newcastle,2019-09-01
Eibar,1704.97875977,eibar,2019-09-01
Milan,1703.47253418,milan,2019-09-01
Werder,1699.92260742,werder,2019-09-01
Gladbach,1697.68029785,gladbach,2019-09-01
