snapshot_date,club,club_clean,elo
2018-09-01,Aalborg,aalborg,1391.07141113
2018-09-01,Aarhus,aarhus,1415.3046875
2018-09-01,Aberdeen,aberdeen,1413.28491211
2018-09-01,Admira,admira,1395.66845703
2018-09-01,AEK,aek,1628.98950195
2018-09-01,AIK,aik,1536.42590332
2018-09-01,Ajaccio,ajaccio,1435.10314941
2018-09-01,Ajax,ajax,1718.01928711
2018-09-01,Akhisar,akhisar,1455.09716797
2018-09-01,Alanyaspor,alanyaspor,1421.17480469
2018-09-01,Alashkert,alashkert,1049.1315918
2018-09-01,Albacete,albacete,1485.73620605
2018-09-01,Alcorcon,alcorcon,1525.44750977
2018-09-01,Alkmaar,alkmaar,1537.13793945
2018-09-01,Almeria,almeria,1490.8026123
2018-09-01,Altach,altach,1391.20556641
2018-09-01,Aluminij,aluminij,1178.67993164
2018-09-01,Anderlecht,anderlecht,1592.17614746
2018-09-01,Ankaraguecue,ankaraguecue,1384.49584961
2018-09-01,Anorthosis,anorthosis,1453.78100586
2018-09-01,Antalyaspor,antalyaspor,1451.6262207
2018-09-01,Antwerp,antwerp,1435.60351562
2018-09-01,Anzhi,anzhi,1430.01416016
2018-09-01,Apollon Athens,apollon athens,1301.43640137
2018-09-01,Apollon Lemesos,apollon lemesos,1531.18041992
2018-09-01,Aris,aris,1325.91833496
2018-09-01,Arka,arka,1250.0234375
2018-09-01,Ascoli,ascoli,1378.22705078
2018-09-01,Ashdod,ashdod,1192.98950195
2018-09-01,Asteras Tripolis,asteras tripolis,1423.22888184
2018-09-01,Aston Villa,aston villa,1567.18603516
2018-09-01,Astra,astra,1432.34838867
2018-09-01,Atromitos,atromitos,1472.98132324
2018-09-01,Aue,aue,1364.91955566
2018-09-01,Austria Wien,austria wien,1462.23388672
2018-09-01,Auxerre,auxerre,1386.62902832
2018-09-01,Aves,aves,1357.39855957
2018-09-01,B 36 Torshavn,b 36 torshavn,914.728637695
2018-09-01,Backa Palanka,backa palanka,1172.83056641
2018-09-01,Bala,bala,945.736328125
2018-09-01,Balzan,balzan,1037.98010254
2018-09-01,Banants,banants,1017.65270996
2018-09-01,Banik Ostrava,banik ostrava,1353.87182617
2018-09-01,Basel,basel,1599.07397461
2018-09-01,BATE,bate,1503.68127441
2018-09-01,Beer-Sheva,beer-sheva,1479.55883789
2018-09-01,Beitar,beitar,1355.44628906
2018-09-01,Belenenses,belenenses,1418.41333008
2018-09-01,Benevento,benevento,1445.40197754
2018-09-01,Benfica,benfica,1754.54467773
2018-09-01,Beroe Stara Zagora,beroe stara zagora,1352.57299805
2018-09-01,Besiktas,besiktas,1718.84899902
2018-09-01,Beveren,beveren,1374.0098877
2018-09-01,Beziers,beziers,1393.77844238
2018-09-01,Bielefeld,bielefeld,1445.25891113
2018-09-01,Birkirkara,birkirkara,994.759033203
2018-09-01,Birmingham,birmingham,1399.96875
2018-09-01,Blackburn,blackburn,1398.37817383
2018-09-01,Bnei Sakhinin,bnei sakhinin,1227.40930176
2018-09-01,Bnei Yehuda,bnei yehuda,1294.67871094
2018-09-01,Boavista,boavista,1448.64306641
2018-09-01,Bochum,bochum,1454.81811523
2018-09-01,Bodoe Glimt,bodoe glimt,1260.29016113
2018-09-01,Bohemians Praha,bohemians praha,1338.52026367
