snapshot_date,club,club_clean,elo,mapped_team
2018-09-01,Paris SG,paris sg,1894.09057617,PSG
2018-09-01,Shakhtar,shakhtar,1763.42907715,
2018-09-01,Benfica,benfica,1754.54467773,
2018-09-01,Porto,porto,1753.49890137,
2018-09-01,Zenit,zenit,1750.00952148,
2018-09-01,Sociedad,sociedad,1735.97619629,Real Sociedad
2018-09-01,Schalke,schalke,1732.16711426,FC Schalke 04
2018-09-01,Celta,celta,1727.0123291,Celta de Vigo
2018-09-01,Milan,milan,1726.86474609,AC Milan
2018-09-01,Salzburg,salzburg,1722.64550781,
2018-09-01,Besiktas,besiktas,1718.84899902,
2018-09-01,Ajax,ajax,1718.01928711,
2018-09-01,CSKA Moskva,cska moskva,1715.07568359,
2018-09-01,Sporting,sporting,1713.70544434,
2018-09-01,Betis,betis,1709.26257324,Real Betis
2018-09-01,Dynamo Kyiv,dynamo kyiv,1708.21240234,
2018-09-01,Bilbao,bilbao,1701.03479004,Athletic Club
2018-09-01,Spartak Moskva,spartak moskva,1689.19592285,
2018-09-01,PSV,psv,1679.14538574,
2018-09-01,Gladbach,gladbach,1676.9263916,Mönchengladbach
2018-09-01,Crvena Zvezda,crvena zvezda,1658.31762695,
2018-09-01,FC Krasnodar,fc krasnodar,1657.67150879,
2018-09-01,PAOK,paok,1655.19616699,
2018-09-01,Young Boys,young boys,1653.18078613,
2018-09-01,Lok Moskva,lok moskva,1653.09521484,
2018-09-01,Galatasaray,galatasaray,1649.42700195,
2018-09-01,Rennes,rennes,1644.54992676,Stade Rennais
2018-09-01,Bueyueksehir,bueyueksehir,1636.94775391,
2018-09-01,Brugge,brugge,1636.13061523,
2018-09-01,Olympiakos,olympiakos,1635.84289551,
2018-09-01,Genk,genk,1634.83886719,
2018-09-01,Fenerbahce,fenerbahce,1633.83068848,
2018-09-01,Leganes,leganes,1631.76159668,CD Leganés
2018-09-01,AEK,aek,1628.98950195,
2018-09-01,Valladolid,valladolid,1628.45397949,Real Valladolid
2018-09-01,Rostov,rostov,1624.20959473,
2018-09-01,Braga,braga,1623.77453613,
2018-09-01,Huesca,huesca,1622.32275391,SD Huesca
2018-09-01,Depor,depor,1606.67456055,
2018-09-01,West Brom,west brom,1605.01794434,West Brom
2018-09-01,Swansea,swansea,1603.21813965,Swansea
2018-09-01,Basel,basel,1599.07397461,
2019-09-01,Ajax,ajax,1845.15441895,
2019-09-01,Paris SG,paris sg,1830.73461914,PSG
2019-09-01,Porto,porto,1816.34350586,
2019-09-01,Benfica,benfica,1799.64257812,
2019-09-01,Salzburg,salzburg,1779.5255127,
2019-09-01,Shakhtar,shakhtar,1760.89599609,
2019-09-01,Bilbao,bilbao,1747.45812988,Athletic Club
2019-09-01,PSV,psv,1738.2598877,
2019-09-01,Sociedad,sociedad,1723.1463623,Real Sociedad
2019-09-01,Sporting,sporting,1719.27575684,
2019-09-01,Olympiakos,olympiakos,1717.47033691,
2019-09-01,Milan,milan,1703.47253418,AC Milan
2019-09-01,Gladbach,gladbach,1697.68029785,Mönchengladbach
2019-09-01,Brugge,brugge,1688.03491211,
2019-09-01,Celta,celta,1687.90405273,Celta de Vigo
2019-09-01,Crvena Zvezda,crvena zvezda,1683.83520508,
2019-09-01,Dinamo Zagreb,dinamo zagreb,1682.77893066,
2019-09-01,Betis,betis,1679.48693848,Real Betis
2019-09-01,Young Boys,young boys,1678.15649414,
2019-09-01,Zenit,zenit,1672.00622559,
2019-09-01,Schalke,schalke,1660.74621582,FC Schalke 04
2019-09-01,Osasuna,osasuna,1659.5760498,CA Osasuna
2019-09-01,FC Krasnodar,fc krasnodar,1656.63317871,
2019-09-01,Slavia Praha,slavia praha,1655.33117676,
2019-09-01,Dynamo Kyiv,dynamo kyiv,1651.75439453,
2019-09-01,Rennes,rennes,1651.17431641,Stade Rennais
2019-09-01,Leganes,leganes,1650.17578125,CD Leganés
2019-09-01,CSKA Moskva,cska moskva,1648.11914062,
2019-09-01,PAOK,paok,1643.6472168,
2019-09-01,Sheffield United,sheffield united,1641.10388184,Sheff Utd
2019-09-01,Braga,braga,1636.80883789,
2019-09-01,Genk,genk,1635.61804199,
2019-09-01,Valladolid,valladolid,1630.37768555,Real Valladolid
2019-09-01,Huesca,huesca,1623.5958252,SD Huesca
2019-09-01,Lok Moskva,lok moskva,1621.72827148,
2019-09-01,West Brom,west brom,1619.97302246,West Brom
2019-09-01,Duesseldorf,duesseldorf,1618.63415527,F. Düsseldorf
2019-09-01,Girona,girona,1613.72888184,Girona
2019-09-01,Basel,basel,1611.73254395,
