country,season,buyer_clean,seller_clean,player_name,player_position,non_rival_options,global_non_rival_options,total_rival_options
England,2018,crystal palace,west ham,Cheikhou Kouyaté,Defensive Midfield,0,23,1
England,2019,crystal palace,everton,James McCarthy,Central Midfield,2,28,1
England,2019,aston villa,bournemouth,Tyrone Mings,Centre-Back,3,36,2
England,2019,arsenal,chelsea,David Luiz,Centre-Back,3,36,2
England,2019,newcastle,west ham,Andy Carroll,Centre-Forward,0,35,1
England,2020,arsenal,chelsea,Willian,Left Winger,1,11,1
England,2020,fulham,brighton,Anthony Knockaert,Right Winger,1,11,1
England,2021,west ham,watford,Craig Dawson,Centre-Back,2,35,1
England,2022,nott'm forest,wolves,Morgan Gibbs-White,Attacking Midfield,4,16,1
England,2022,nott'm forest,wolves,Willy Boly,Centre-Back,2,45,1
England,2022,newcastle,aston villa,Matt Targett,Left-Back,4,14,1
England,2022,bournemouth,west ham,Ryan Fredericks,Right-Back,0,18,1
England,2023,man utd,chelsea,Mason Mount,Attacking Midfield,1,26,1
England,2023,arsenal,chelsea,Kai Havertz,Centre-Forward,2,39,1
England,2023,crystal palace,bournemouth,Jefferson Lerma,Defensive Midfield,2,29,1
England,2024,west ham,wolves,Maximilian Kilman,Centre-Back,4,48,1
France,2018,angers sco,r. strasbourg,Stéphane Bahoken,Centre-Forward,5,27,1
France,2018,angers sco,amiens sc,Harrison Manzala,Right Winger,2,9,1
France,2019,angers sco,nîmes olympique,Antonin Bobichon,Central Midfield,5,28,1
France,2019,angers sco,nîmes olympique,Rachid Alioui,Centre-Forward,2,35,1
France,2019,angers sco,nîmes olympique,Sada Thioub,Right Winger,1,16,1
France,2020,fc nantes,stade brestois,Jean-Charles Castelletto,Centre-Back,3,18,1
France,2020,angers sco,fc lorient,Jimmy Cabot,Right Midfield,0,0,1
France,2021,stade rennais,montpellier,Gaëtan Laborde,Centre-Forward,2,24,1
France,2021,angers sco,stade reims,Billal Brahimi,Right Winger,1,11,1
France,2022,angers sco,clermont foot,Cédric Hountondji,Centre-Back,3,45,2
France,2022,stade rennais,lens,Christopher Wooh,Centre-Back,3,45,2
France,2022,stade rennais,nice,Amine Gouiri,Centre-Forward,5,45,1
France,2022,stade rennais,marseille,Steve Mandanda,Goalkeeper,2,20,1
France,2022,stade brestois,angers sco,Mathias Pereira Lage,Left Winger,1,13,1
France,2023,fc nantes,stade brestois,Jean-Kévin Duverne,Centre-Back,2,37,1
France,2023,stade brestois,stade reims,Bradley Locko,Left-Back,0,13,1
France,2024,stade brestois,stade reims,Kamory Doumbia,Attacking Midfield,1,9,1
Germany,2018,augsburg,hertha bsc,Julian Schieber,Centre-Forward,2,27,1
Germany,2019,dortmund,leverkusen,Julian Brandt,Attacking Midfield,1,7,1
Germany,2019,union berlin,hertha bsc,Julius Kade,Central Midfield,4,28,1
Germany,2019,union berlin,augsburg,Marvin Friedrich,Centre-Back,5,36,2
Germany,2019,augsburg,union berlin,Marvin Friedrich,Centre-Back,5,36,2
Germany,2019,augsburg,freiburg,Florian Niederlechner,Centre-Forward,3,35,2
Germany,2019,union berlin,mainz,Anthony Ujah,Centre-Forward,3,35,2
Germany,2019,dortmund,hoffenheim,Nico Schulz,Left-Back,1,18,1
Germany,2019,freiburg,augsburg,Jonathan Schmid,Right Midfield,0,1,1
Germany,2021,union berlin,mainz,Levin Öztunali,Left Winger,0,9,1
Germany,2022,union berlin,freiburg,Janik Haberer,Central Midfield,3,21,2
Germany,2022,augsburg,hertha bsc,Arne Maier,Central Midfield,3,21,2
Germany,2022,werder bremen,hertha bsc,Niklas Stark,Centre-Back,6,45,3
Germany,2022,1.fc köln,mainz,Luca Kilian,Centre-Back,6,45,3
Germany,2022,freiburg,mönchengladbach,Matthias Ginter,Centre-Back,6,45,3
Germany,2023,dortmund,bayern munich,Marcel Sabitzer,Central Midfield,2,29,1
Germany,2023,augsburg,mainz,Finn Dahmen,Goalkeeper,3,18,1
Germany,2023,bayern munich,dortmund,Raphaël Guerreiro,Left-Back,1,13,1
Germany,2024,heidenheim,augsburg,Niklas Dorsch,Defensive Midfield,3,16,1
Italy,2018,roma,inter,Nicolò Zaniolo,Attacking Midfield,4,9,1
Italy,2018,inter,roma,Radja Nainggolan,Central Midfield,2,25,1
Italy,2018,inter,lazio,Stefan de Vrij,Centre-Back,6,33,1
Italy,2018,torino,ac milan,M'Baye Niang,Centre-Forward,5,27,1
Italy,2018,roma,inter,Davide Santon,Left-Back,2,12,2
Italy,2018,ac milan,sampdoria,Ivan Strinic,Left-Back,2,12,2
Italy,2019,ac milan,atalanta,Franck Kessié,Central Midfield,1,28,1
Italy,2019,udinese,bologna,Sebastien De Maio,Centre-Back,6,36,3
Italy,2019,lecce,brescia,Biagio Meccariello,Centre-Back,6,36,3
Italy,2019,bologna,udinese,Danilo,Centre-Back,6,36,3
Italy,2019,roma,atalanta,Bryan Cristante,Defensive Midfield,3,16,1
Italy,2019,roma,juventus,Leonardo Spinazzola,Left-Back,2,18,2
Italy,2019,juventus,roma,Luca Pellegrini,Left-Back,2,18,2
Italy,2020,torino,sampdoria,Karol Linetty,Central Midfield,6,21,1
Italy,2020,roma,atalanta,Gianluca Mancini,Centre-Back,1,18,2
Italy,2020,genoa,bologna,Mattia Bani,Centre-Back,1,18,2
Italy,2020,genoa,bologna,Mattia Destro,Centre-Forward,6,32,1
Italy,2020,lazio,ac milan,Pepe Reina,Goalkeeper,1,18,1
Italy,2020,inter,roma,Aleksandar Kolarov,Left-Back,2,11,1
Italy,2021,roma,atalanta,Roger Ibañez,Centre-Back,8,35,2
Italy,2021,atalanta,juventus,Cristian Romero,Centre-Back,8,35,2
Italy,2021,inter,roma,Edin Džeko,Centre-Forward,3,24,1
Italy,2021,inter,ac milan,Hakan Çalhanoğlu,Defensive Midfield,0,10,1
Italy,2021,lazio,roma,Pedro,Right Winger,1,11,1
Italy,2021,genoa,fc empoli,Stefano Sabelli,Right-Back,1,12,1
Italy,2022,lazio,inter,Matías Vecino,Central Midfield,2,21,2
Italy,2022,inter,roma,Henrikh Mkhitaryan,Central Midfield,2,21,2
Italy,2022,lazio,ac milan,Alessio Romagnoli,Centre-Back,3,45,1
Italy,2022,inter,atalanta,Robin Gosens,Left-Back,1,14,2
Italy,2022,udinese,hellas verona,Destiny Udogie,Left-Back,1,14,2
Italy,2022,ac milan,roma,Alessandro Florenzi,Right-Back,0,18,1
Italy,2022,roma,juventus,Paulo Dybala,Second Striker,1,2,2
Italy,2022,inter,lazio,Joaquín Correa,Second Striker,1,2,2
Italy,2024,atalanta,ac milan,Charles De Ketelaere,Attacking Midfield,0,9,2
Italy,2024,juventus,atalanta,Teun Koopmeiners,Attacking Midfield,0,9,2
Italy,2024,como,torino,Ben Lhassine Kone,Central Midfield,1,26,1
Italy,2024,cagliari,fc empoli,Sebastiano Luperto,Centre-Back,5,48,1
Italy,2024,atalanta,roma,Rui Patrício,Goalkeeper,0,12,1
Italy,2024,atalanta,inter,Juan Cuadrado,Right Midfield,1,1,1
Italy,2024,roma,juventus,Matías Soulé,Right Winger,2,18,1
Spain,2018,real betis,real sociedad,Sergio Canales,Attacking Midfield,0,9,1
Spain,2018,valencia,atlético,Kévin Gameiro,Centre-Forward,4,27,1
Spain,2018,getafe,sevilla fc,David Soria,Goalkeeper,3,23,1
Spain,2018,girona,rayo vallecano,Johan Mojica,Left-Back,2,12,1
Spain,2018,getafe,sd eibar,Iván Alejo,Right-Back,5,19,1
Spain,2019,real sociedad,athletic club,Álex Remiro,Goalkeeper,3,22,1
Spain,2019,levante,ca osasuna,Carlos Clerc,Left-Back,3,18,1
Spain,2019,ca osasuna,levante,Rubén García,Right Winger,2,16,1
Spain,2019,atlético,real madrid,Marcos Llorente,Right-Back,1,17,1
Spain,2019,barcelona,atlético,Antoine Griezmann,Second Striker,0,1,1
Spain,2020,ca osasuna,real sociedad,Raúl Navas,Centre-Back,0,18,1
Spain,2020,atlético,barcelona,Luis Suárez,Centre-Forward,2,32,2
Spain,2020,getafe,villarreal,Enes Ünal,Centre-Forward,2,32,2
Spain,2020,elche cf,real valladolid,Luismi Sánchez,Defensive Midfield,1,13,1
Spain,2021,villarreal,real betis,Aïssa Mandi,Centre-Back,1,35,1
Spain,2021,elche cf,alavés,Lucas Pérez,Centre-Forward,2,24,2
Spain,2021,levante,granada cf,Roberto Soldado,Centre-Forward,2,24,2
Spain,2022,valencia,getafe,Hugo Duro,Centre-Forward,4,45,2
Spain,2022,real betis,real sociedad,Willian José,Centre-Forward,4,45,2
Spain,2022,girona,real valladolid,Toni Villa,Left Winger,1,13,2
Spain,2022,espanyol,ud almería,José Carlos Lazo,Left Winger,1,13,2
Spain,2022,espanyol,rcd mallorca,Brian Oliván,Left-Back,2,14,1
Spain,2022,rayo vallecano,cádiz cf,Salvi Sánchez,Right Winger,2,11,1
Spain,2023,rayo vallecano,ca osasuna,Aridane Hernández,Centre-Back,3,37,2
Spain,2023,ca osasuna,rayo vallecano,Alejandro Catena,Centre-Back,3,37,2
Spain,2023,rcd mallorca,ud almería,Samú Costa,Defensive Midfield,2,29,1
Spain,2023,rayo vallecano,cádiz cf,Alfonso Espino,Left-Back,4,13,1
Spain,2023,atlético,barcelona,Antoine Griezmann,Second Striker,0,3,1
Spain,2024,villarreal,real betis,Ayoze Pérez,Centre-Forward,4,36,1
