country,league,season,team_a,team_b,pos_diff,elo_diff,is_rival
England,Games of Matchday 38 Premier League 17/18,2017,Arsenal,Burnley,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Arsenal,Chelsea,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Arsenal,Everton,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Arsenal,Liverpool,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Bournemouth,Crystal Palace,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Bournemouth,Newcastle,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Bournemouth,Watford,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Bournemouth,West Ham,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Brighton,Huddersfield,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Brighton,Southampton,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Brighton,Watford,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Brighton,West Ham,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Burnley,Chelsea,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Burnley,Everton,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Burnley,Leicester,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Chelsea,Liverpool,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Chelsea,Tottenham,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Crystal Palace,Leicester,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Crystal Palace,Newcastle,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Crystal Palace,West Ham,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Everton,Leicester,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Everton,Newcastle,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Huddersfield,Southampton,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Huddersfield,Swansea,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Huddersfield,Watford,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Leicester,Newcastle,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Liverpool,Man Utd,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Liverpool,Tottenham,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Man City,Man Utd,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Man City,Tottenham,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Man Utd,Tottenham,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Southampton,Stoke City,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Southampton,Swansea,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Stoke City,Swansea,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Stoke City,West Brom,1,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Swansea,West Brom,2,999,TRUE
England,Games of Matchday 38 Premier League 17/18,2017,Watford,West Ham,1,999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Arsenal,Chelsea,999,39.0488281200001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Arsenal,Man Utd,999,44.7634277299999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Brighton,999,52.1440429699999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Burnley,999,31.9510498,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Crystal Palace,999,3.50195313000017,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Everton,999,17.8316650400002,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Fulham,999,56.08898925,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Leicester,999,21.5330810600001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Newcastle,999,26.4448242199999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Southampton,999,48.4350585899999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Watford,999,27.6304931599998,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,West Ham,999,31.06640625,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Bournemouth,Wolves,999,91.5837402299999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Burnley,999,20.1929931699999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Cardiff,999,62.2537841799999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Crystal Palace,999,55.6459961000001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Everton,999,69.9757080100001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Fulham,999,3.94494628000007,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Huddersfield,999,77.3024902300001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Leicester,999,73.67712403,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Newcastle,999,25.69921875,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Southampton,999,3.70898437999995,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Watford,999,24.5135498100001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,West Ham,999,21.0776367199999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Brighton,Wolves,999,39.43969726,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Cardiff,999,82.4467773499998,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Crystal Palace,999,35.4530029300001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Everton,999,49.7827148400002,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Fulham,999,24.13793945,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Huddersfield,999,97.4954834,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Leicester,999,53.4841308600001,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Newcastle,999,5.50622558000009,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Southampton,999,16.48400879,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Watford,999,4.32055664000018,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,West Ham,999,0.884643549999964,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Burnley,Wolves,999,59.6326904299999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Fulham,999,58.3088378999999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Huddersfield,999,15.0487060500002,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Newcastle,999,87.9530029299999,TRUE
England,Games of Matchday 38 Premier League 18/19,2017,Cardiff,Southampton,999,65.9627685599999,TRUE
