country,season,buyer_clean,total_transfers,rival_transfers,share_rival
England,2018,west ham,7,0,0
England,2018,chelsea,3,0,0
England,2018,Wolves,4,0,0
England,2018,everton,3,0,0
England,2018,bournemouth,2,0,0
England,2018,arsenal,4,0,0
England,2018,newcastle,2,0,0
England,2018,crystal palace,3,1,0.333333333333333
England,2018,Brighton,5,0,0
England,2018,man city,1,0,0
England,2018,liverpool,3,0,0
England,2018,burnley,1,0,0
England,2018,fulham,4,0,0
England,2019,Wolves,3,0,0
England,2019,newcastle,4,1,0.25
England,2019,everton,5,1,0.2
England,2019,man city,2,0,0
England,2019,aston villa,7,1,0.142857142857143
England,2019,arsenal,3,1,0.333333333333333
England,2019,crystal palace,2,1,0.5
England,2019,man utd,2,1,0.5
England,2019,west ham,3,0,0
England,2019,tottenham,1,0,0
England,2019,chelsea,1,0,0
England,2019,liverpool,1,0,0
England,2020,aston villa,2,1,0.5
England,2020,arsenal,5,0,0
England,2020,Wolves,2,0,0
England,2020,liverpool,2,0,0
England,2020,burnley,2,2,1
England,2020,fulham,3,1,0.333333333333333
England,2020,newcastle,1,1,1
England,2020,tottenham,5,0,0
England,2020,leeds,7,1,0.142857142857143
England,2020,chelsea,6,1,0.166666666666667
England,2020,Brighton,1,0,0
England,2020,everton,2,0,0
England,2020,man utd,1,0,0
England,2020,man city,1,0,0
England,2021,Wolves,1,0,0
England,2021,newcastle,1,0,0
England,2021,man city,1,0,0
England,2021,man utd,4,1,0.25
England,2021,leeds,3,1,0.333333333333333
England,2021,tottenham,3,0,0
England,2021,arsenal,3,0,0
England,2021,crystal palace,3,0,0
England,2021,west ham,2,0,0
England,2021,burnley,2,0,0
England,2021,everton,2,1,0.5
England,2021,brentford,1,0,0
England,2021,Brighton,2,0,0
England,2021,aston villa,4,1,0.25
England,2021,chelsea,1,0,0
England,2021,liverpool,1,0,0
England,2022,fulham,4,1,0.25
England,2022,chelsea,7,2,0.285714285714286
England,2022,newcastle,3,1,0.333333333333333
England,2022,nott'm forest,11,3,0.272727272727273
England,2022,tottenham,6,1,0.166666666666667
England,2022,aston villa,5,0,0
England,2022,bournemouth,2,1,0.5
England,2022,crystal palace,2,0,0
England,2022,leeds,5,0,0
England,2022,brentford,3,0,0
England,2022,man utd,2,1,0.5
England,2022,everton,4,0,0
England,2022,Brighton,2,0,0
England,2022,west ham,6,1,0.166666666666667
England,2022,man city,3,0,0
England,2022,liverpool,1,0,0
England,2022,Wolves,3,0,0
England,2022,arsenal,2,2,1
England,2023,west ham,2,0,0
