team_name,league,country,season,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start
Manchester City,Premier League,England,2018,Arrivals,Riyad Mahrez,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424,Right Winger,27,Algeria,Leicester,Premier League,England,67800000,FALSE,"",Summer,60,44,12,2551,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Arrivals,Pablo Maffeo,https://www.transfermarkt.com/pablo-maffeo/profil/spieler/251876,Right-Back,20,Argentina,Girona,LaLiga,Spain,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Angus Gunn,https://www.transfermarkt.com/angus-gunn/profil/spieler/201574,Goalkeeper,22,Scotland,Southampton,Premier League,England,11300000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Jason Denayer,https://www.transfermarkt.com/jason-denayer/profil/spieler/277114,Centre-Back,23,Belgium,Lyon,Ligue 1,France,1e+07,FALSE,"",Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Pablo Maffeo,https://www.transfermarkt.com/pablo-maffeo/profil/spieler/251876,Right-Back,20,Argentina,Stuttgart,Bundesliga,Germany,9e+06,FALSE,"",Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Joe Hart,https://www.transfermarkt.com/joe-hart/profil/spieler/40204,Goalkeeper,31,England,Burnley,Premier League,England,3900000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Patrick Roberts,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452,Right Winger,21,England,Girona,LaLiga,Spain,,TRUE,loan transfer,Summer,0,0,0,0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Manchester City,Premier League,England,2018,Departures,Manu García,https://www.transfermarkt.com/manu-garcia/profil/spieler/277118,Attacking Midfield,20,Spain,Toulouse,Ligue 1,France,,TRUE,loan transfer,Summer,,,,,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Alisson,https://www.transfermarkt.com/alisson/profil/spieler/105470,Goalkeeper,25,Brazil,Roma,Serie A,Italy,72500000,FALSE,"",Summer,51,51,0,4590,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Naby Keïta,https://www.transfermarkt.com/naby-keita/profil/spieler/302215,Central Midfield,23,Guinea,Leipzig,Bundesliga,Germany,6e+07,FALSE,"",Summer,43,33,3,1819,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Fabinho,https://www.transfermarkt.com/fabinho/profil/spieler/225693,Defensive Midfield,24,Brazil,Monaco,Ligue 1,Monaco,4.5e+07,FALSE,"",Summer,49,41,1,2917,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Nathaniel Clyne,https://www.transfermarkt.com/nathaniel-clyne/profil/spieler/85177,Right-Back,28,England,Bournemouth,Premier League,England,,TRUE,End of loan 31/05/2019,Summer,7,5,0,198,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
Liverpool FC,Premier League,England,2018,Arrivals,Divock Origi,https://www.transfermarkt.com/divock-origi/profil/spieler/148368,Centre-Forward,23,Belgium,Wolfsburg,Bundesliga,Germany,,TRUE,End of loan 30/06/2018,Summer,36,21,7,674,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018
