country,season,country_2,seller_raw,buyer_raw,team_name,league,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start,buyer_clean,seller_clean,rivalry_proximity,pos_clean,seller_norm,buyer_norm
England,2018,Scotland,aberdeen fc,manchester united,Manchester United,Premier League,Arrivals,James Wilson,https://www.transfermarkt.com/james-wilson/profil/spieler/214104,Centre-Forward,23,England,Aberdeen FC,Premiership,,TRUE,End of loan 20/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2018,2018,man utd,aberdeen fc,,centre-forward,aberdeen fc,man utd
England,2018,England,accrington,newcastle united,Newcastle United,Premier League,Arrivals,Dan Barlaser,https://www.transfermarkt.com/dan-barlaser/profil/spieler/256773,Defensive Midfield,22,England,Accrington,League One,,TRUE,End of loan 31/05/2019,Summer,,,,,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2018,2018,newcastle,accrington,,defensive midfield,accrington,newcastle
England,2018,England,afc wimbledon,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Aaron Ramsdale,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568,Goalkeeper,21,England,AFC Wimbledon,League One,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,afc wimbledon,,goalkeeper,afc wimbledon,bournemouth
England,2018,Saudi Arabia,al-hilal,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Léo Bonatini,https://www.transfermarkt.com/leo-bonatini/profil/spieler/181781,Centre-Forward,24,Brazil,Al-Hilal,Saudi Pro League,4e+06,FALSE,"",Summer,21,9,1,293,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,wolves,al-hilal,,centre-forward,alhilal,wolves
England,2018,United Arab Emirates,al-wasl,manchester city,Manchester City,Premier League,Arrivals,Anthony Cáceres,https://www.transfermarkt.com/anthony-caceres/profil/spieler/226739,Attacking Midfield,25,Australia,Al-Wasl,UAE Pro League,,TRUE,End of loan 30/06/2018,Summer,0,0,0,0,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018,man city,al-wasl,,attacking midfield,alwasl,man city
England,2018,France,angers sco,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Prince Oniangué,https://www.transfermarkt.com/prince-oniangue/profil/spieler/60578,Defensive Midfield,29,Congo,Angers SCO,Ligue 1,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,wolves,angers sco,,defensive midfield,angers sco,wolves
England,2018,England,arsenal u21,arsenal fc,Arsenal FC,Premier League,Arrivals,Dejan Iliev,https://www.transfermarkt.com/dejan-iliev/profil/spieler/205757,Goalkeeper,23,North Macedonia,Arsenal U21,Premier League 2,,FALSE,-,Summer,2,0,0,0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,arsenal,,goalkeeper,arsenal,arsenal
England,2018,England,charlton,arsenal fc,Arsenal FC,Premier League,Arrivals,Krystian Bielik,https://www.transfermarkt.com/krystian-bielik/profil/spieler/287247,Centre-Back,21,Poland,Charlton,League One,,TRUE,End of loan 31/05/2019,Summer,0,0,0,0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,charlton,,centre-back,charlton,arsenal
England,2018,Spain,dep. la coruña,arsenal fc,Arsenal FC,Premier League,Arrivals,Lucas Pérez,https://www.transfermarkt.com/lucas-perez/profil/spieler/73185,Centre-Forward,29,Spain,Dep. La Coruña,LaLiga,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,dep. la coruña,,centre-forward,dep la corua,arsenal
England,2018,Germany,dortmund,arsenal fc,Arsenal FC,Premier League,Arrivals,Sokratis,https://www.transfermarkt.com/sokratis/profil/spieler/34322,Centre-Back,30,Greece,Dortmund,Bundesliga,1.6e+07,FALSE,"",Summer,43,40,3,3375,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,arsenal,dortmund,,centre-back,dortmund,arsenal
