country,raw,team_clean
England,manchester city,man city
England,manchester united,man utd
England,wolverhampton wanderers,Wolves
England,brighton & hove albion,Brighton
England,sheffield united,Sheff Utd
France,paris saint-germain,PSG
France,olympique lyon,Lyon
France,as monaco,Monaco
France,losc lille,Lille
France,olympique marseille,Marseille
France,ogc nice,Nice
France,fc girondins bordeaux,G. Bordeaux
France,ea guingamp,Guingamp
France,rc lens,Lens
France,estac troyes,Troyes
Germany,borussia dortmund,dortmund
Germany,bayer 04 leverkusen,Leverkusen
Germany,tsg 1899 hoffenheim,Hoffenheim
Germany,eintracht frankfurt,Frankfurt
Germany,borussia mönchengladbach,Mönchengladbach
Germany,1.fsv mainz 05,Mainz
Italy,as roma,roma
Italy,parma calcio 1913,Parma
Italy,brescia calcio (- 2025),
Spain,rcd espanyol barcelona,espanyol
Spain,deportivo alavés,Alavés
