country,league,season,team_a,team_b,pos_diff,team_a_low,team_b_low,country_low,league_low
England,Games of Matchday 38 Premier League 17/18,2017,Arsenal,Burnley,1,arsenal,burnley,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Arsenal,Chelsea,1,arsenal,chelsea,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Arsenal,Everton,2,arsenal,everton,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Arsenal,Liverpool,2,arsenal,liverpool,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Bournemouth,Crystal Palace,1,bournemouth,crystal palace,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Bournemouth,Newcastle,2,bournemouth,newcastle,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Bournemouth,Watford,2,bournemouth,watford,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Bournemouth,West Ham,1,bournemouth,west ham,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Brighton,Huddersfield,1,brighton,huddersfield,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Brighton,Southampton,2,brighton,southampton,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Brighton,Watford,1,brighton,watford,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Brighton,West Ham,2,brighton,west ham,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Burnley,Chelsea,2,burnley,chelsea,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Burnley,Everton,1,burnley,everton,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Burnley,Leicester,2,burnley,leicester,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Chelsea,Liverpool,1,chelsea,liverpool,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Chelsea,Tottenham,2,chelsea,tottenham,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Crystal Palace,Leicester,2,crystal palace,leicester,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Crystal Palace,Newcastle,1,crystal palace,newcastle,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Crystal Palace,West Ham,2,crystal palace,west ham,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Everton,Leicester,1,everton,leicester,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Everton,Newcastle,2,everton,newcastle,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Huddersfield,Southampton,1,huddersfield,southampton,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Huddersfield,Swansea,2,huddersfield,swansea,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Huddersfield,Watford,2,huddersfield,watford,england,games of matchday 38 premier league 17/18
England,Games of Matchday 38 Premier League 17/18,2017,Leicester,Newcastle,1,leicester,newcastle,england,games of matchday 38 premier league 17/18
